Order ID,Order Date,Ship Date,Ship Mode,Region,Category,Sub-Category,Sales,Discount,Profit,Delivery Days,,,,,
US-2017-168116,04/11/2017,04/11/2017,Same Day,South,Technology,Machines,7999.98,0.5,-3839.9904,0,,,,,
CA-2015-116638,28/01/2015,31/01/2015,Second Class,South,Furniture,Tables,4297.644,0.4,-1862.3124,3,,,,,
CA-2014-145317,18/03/2014,23/03/2014,Standard Class,South,Technology,Machines,22638.48,0.5,-1811.0784,5,,,,,
US-2015-150630,17/09/2015,21/09/2015,Standard Class,East,Furniture,Bookcases,3083.43,0.5,-1665.0522,4,,,,,
CA-2014-139892,08/09/2014,12/09/2014,Standard Class,Central,Technology,Machines,8159.952,0.4,-1359.992,4,,,,,
CA-2017-158379,22/09/2017,26/09/2017,Second Class,East,Office Supplies,Supplies,4663.736,0.2,-1049.3406,4,,,,,
US-2017-162558,02/10/2017,05/10/2017,First Class,South,Furniture,Tables,2314.116,0.4,-1002.7836,3,,,,,
CA-2017-159100,16/10/2017,21/10/2017,Standard Class,South,Furniture,Tables,1875.258,0.4,-968.8833,5,,,,,
CA-2014-127299,19/09/2014,24/09/2014,Standard Class,South,Technology,Machines,2624.985,0.5,-944.9946,5,,,,,
CA-2016-109869,22/04/2016,29/04/2016,Standard Class,West,Furniture,Tables,1272.63,0.5,-814.4832,7,,,,,
CA-2016-103982,03/03/2016,08/03/2016,Standard Class,Central,Office Supplies,Supplies,3930.072,0.2,-786.0144,5,,,,,
CA-2014-108609,31/10/2014,02/11/2014,Second Class,East,Furniture,Tables,1421.664,0.4,-734.5264,2,,,,,
CA-2017-142090,30/11/2017,07/12/2017,Standard Class,South,Furniture,Tables,1781.682,0.4,-653.2834,7,,,,,
CA-2017-118892,17/08/2017,22/08/2017,Second Class,East,Furniture,Chairs,4416.174,0.3,-630.882,5,,,,,
US-2017-110576,28/11/2017,02/12/2017,Standard Class,East,Furniture,Tables,2065.32,0.4,-619.596,4,,,,,
US-2014-115196,09/09/2014,13/09/2014,Standard Class,South,Technology,Machines,1299.99,0.5,-571.9956,4,,,,,
US-2017-124968,08/09/2017,13/09/2017,Second Class,Central,Furniture,Tables,765.625,0.5,-566.5625,5,,,,,
US-2014-148838,17/03/2014,21/03/2014,Standard Class,East,Furniture,Tables,1071.576,0.4,-553.6476,4,,,,,
CA-2016-168032,30/01/2016,03/02/2016,Standard Class,Central,Furniture,Tables,626.1,0.5,-538.446,4,,,,,
CA-2015-124975,22/06/2015,25/06/2015,First Class,Central,Furniture,Tables,796.425,0.5,-525.6405,3,,,,,
US-2014-106992,19/09/2014,21/09/2014,Second Class,Central,Technology,Machines,3059.982,0.4,-509.997,2,,,,,
CA-2015-119879,21/11/2015,25/11/2015,Standard Class,East,Furniture,Tables,1252.704,0.4,-480.2032,4,,,,,
US-2016-100839,13/10/2016,17/10/2016,Standard Class,West,Furniture,Tables,727.45,0.5,-465.568,4,,,,,
CA-2015-101889,27/12/2015,31/12/2015,Standard Class,East,Furniture,Tables,1548.99,0.4,-464.697,4,,,,,
CA-2017-102204,01/05/2017,06/05/2017,Standard Class,South,Furniture,Tables,933.262,0.45,-458.1468,5,,,,,
US-2017-142573,18/07/2017,23/07/2017,Standard Class,West,Furniture,Tables,801.6,0.5,-448.896,5,,,,,
US-2014-148838,17/03/2014,21/03/2014,Standard Class,East,Furniture,Tables,1579.746,0.4,-447.5947,4,,,,,
CA-2015-141243,03/01/2015,08/01/2015,Second Class,Central,Furniture,Bookcases,1352.3976,0.32,-437.5404,5,,,,,
